Director,IMDb Page
Lil Wachmann,"{'Director': 'Lil Wachmann', 'IMDb Page': 'https://www.imdb.com/name/nm7172619/?ref_=fn_nme_nme_1'}"
Suzan Muir,"{'Director': 'Suzan Muir', 'IMDb Page': 'https://www.imdb.com/name/nm4516509/?ref_=fn_nme_nme_1'}"
Rin Shuto,"{'Director': 'Rin Shuto', 'IMDb Page': 'https://www.imdb.com/name/nm8342410/?ref_=fn_nme_nme_1'}"
Neasa Ní Chianáin,"{'Director': 'Neasa Ní Chianáin', 'IMDb Page': 'https://www.imdb.com/name/nm0639107/?ref_=fn_nme_nme_1'}"
Nina Messinger,"{'Director': 'Nina Messinger', 'IMDb Page': 'https://www.imdb.com/name/nm8054735/?ref_=fn_nme_nme_1'}"
Aline Brechbühl,"{'Director': 'Aline Brechbühl', 'IMDb Page': 'https://www.imdb.com/name/nm1644636/?ref_=fn_nme_nme_1'}"
Ann Carolin Renninger,"{'Director': 'Ann Carolin Renninger', 'IMDb Page': 'https://www.imdb.com/name/nm3959143/?ref_=fn_nme_nme_1'}"
Nimisha Mukerji,"{'Director': 'Nimisha Mukerji', 'IMDb Page': 'https://www.imdb.com/name/nm2240418/?ref_=fn_nme_nme_1'}"
Celia Haig-Brown,"{'Director': 'Celia Haig-Brown', 'IMDb Page': 'https://www.imdb.com/name/nm9920097/?ref_=fn_nme_nme_1'}"
Lisa Blatter,"{'Director': 'Lisa Blatter', 'IMDb Page': 'https://www.imdb.com/name/nm2999197/?ref_=fn_nme_nme_1'}"
Araceli Lemos,"{'Director': 'Araceli Lemos', 'IMDb Page': 'https://www.imdb.com/name/nm3367488/?ref_=fn_nme_nme_1'}"
Alba Barbé i Serra,"{'Director': 'Alba Barbé i Serra', 'IMDb Page': 'https://www.imdb.com/name/nm9382062/?ref_=fn_nme_nme_1'}"
Anne Weil,"{'Director': 'Anne Weil', 'IMDb Page': 'https://www.imdb.com/name/nm0917934/?ref_=fn_nme_nme_1'}"
Katalin Gödrös,"{'Director': 'Katalin Gödrös', 'IMDb Page': 'https://www.imdb.com/name/nm0351351/?ref_=fn_nme_nme_1'}"
Mariya Mozhar,"{'Director': 'Mariya Mozhar', 'IMDb Page': 'https://www.imdb.com/name/nm3123475/?ref_=fn_nme_nme_1'}"
Beathe Hofseth,"{'Director': 'Beathe Hofseth', 'IMDb Page': 'https://www.imdb.com/name/nm2131949/?ref_=fn_nme_nme_1'}"
Susann Østigaard,"{'Director': 'Susann Østigaard', 'IMDb Page': 'https://www.imdb.com/name/nm5013494/?ref_=fn_nme_nme_1'}"
Caroline Cuénod,"{'Director': 'Caroline Cuénod', 'IMDb Page': 'https://www.imdb.com/name/nm8656866/?ref_=fn_nme_nme_1'}"
Alexandra Hidalgo,"{'Director': 'Alexandra Hidalgo', 'IMDb Page': 'https://www.imdb.com/name/nm3589010/?ref_=fn_nme_nme_1'}"
Charmaine Leblanc,"{'Director': 'Charmaine Leblanc', 'IMDb Page': 'https://www.imdb.com/name/nm11482930/?ref_=fn_nme_nme_1'}"
Laura Neri,"{'Director': 'Laura Neri', 'IMDb Page': 'https://www.imdb.com/name/nm1289956/?ref_=fn_nme_nme_1'}"
Marilou Berry,"{'Director': 'Marilou Berry', 'IMDb Page': 'https://www.imdb.com/name/nm0077622/?ref_=fn_nme_nme_1'}"
Agurtzane Intxaurraga,"{'Director': 'Agurtzane Intxaurraga', 'IMDb Page': 'https://www.imdb.com/name/nm8629570/?ref_=fn_nme_nme_1'}"
G. B. Jones,"{'Director': 'G. B. Jones', 'IMDb Page': 'https://www.imdb.com/name/nm0428109/?ref_=fn_nme_nme_1'}"
Agustina Gonzalez Bonorino,"{'Director': 'Agustina Gonzalez Bonorino', 'IMDb Page': 'https://www.imdb.com/name/nm8486524/?ref_=fn_nme_nme_1'}"
LeAnn Erickson,"{'Director': 'LeAnn Erickson', 'IMDb Page': 'https://www.imdb.com/name/nm0259085/?ref_=fn_nme_nme_1'}"
Réka Bucsi,"{'Director': 'Réka Bucsi', 'IMDb Page': 'https://www.imdb.com/name/nm5959833/?ref_=fn_nme_nme_1'}"
Zixuan (Sharon) Deng,"{'Director': 'Zixuan (Sharon) Deng', 'IMDb Page': 'https://www.imdb.com/name/nm8380125/?ref_=fn_nme_nme_1'}"
Susanne Messmer,"{'Director': 'Susanne Messmer', 'IMDb Page': 'https://www.imdb.com/name/nm13490020/?ref_=fn_nme_nme_1'}"
Bety Reis,"{'Director': 'Bety Reis', 'IMDb Page': 'https://www.imdb.com/name/nm5987319/?ref_=fn_nme_nme_1'}"
Cláudia Tomaz,"{'Director': 'Cláudia Tomaz', 'IMDb Page': 'https://www.imdb.com/name/nm0866536/?ref_=fn_nme_nme_1'}"
Asinnajaq,"{'Director': 'Asinnajaq', 'IMDb Page': 'https://www.imdb.com/name/nm13469186/?ref_=fn_nme_nme_1'}"
Peng Sanyuan,"{'Director': 'Peng Sanyuan', 'IMDb Page': 'https://www.imdb.com/name/nm6785570/?ref_=fn_nme_nme_1'}"
Sany,"{'Director': 'Sany', 'IMDb Page': 'https://www.imdb.com/name/nm7621667/?ref_=fn_nme_nme_1'}"
Eliza Swenson,"{'Director': 'Eliza Swenson', 'IMDb Page': 'https://www.imdb.com/name/nm1918942/?ref_=fn_nme_nme_1'}"
Paule Muret,"{'Director': 'Paule Muret', 'IMDb Page': 'https://www.imdb.com/name/nm0613843/?ref_=fn_nme_nme_1'}"
Sofie Sustková,"{'Director': 'Sofie Sustková', 'IMDb Page': 'https://www.imdb.com/name/nm7083976/?ref_=fn_nme_nme_1'}"
María Teresa Curzio,"{'Director': 'María Teresa Curzio', 'IMDb Page': 'https://www.imdb.com/name/nm3727067/?ref_=fn_nme_nme_1'}"
Celine Danhier,"{'Director': 'Celine Danhier', 'IMDb Page': 'https://www.imdb.com/name/nm3372147/?ref_=fn_nme_nme_1'}"
Francisca Maia,"{'Director': 'Francisca Maia', 'IMDb Page': 'https://www.imdb.com/name/nm1130627/?ref_=fn_nme_nme_1'}"
Meghan Leon,"{'Director': 'Meghan Leon', 'IMDb Page': 'https://www.imdb.com/name/nm3072769/?ref_=fn_nme_nme_1'}"
Alexandra Lazarowich,"{'Director': 'Alexandra Lazarowich', 'IMDb Page': 'https://www.imdb.com/name/nm1371239/?ref_=fn_nme_nme_1'}"
Sabrina Mottino,"{'Director': 'Sabrina Mottino', 'IMDb Page': 'https://www.imdb.com/name/nm8358734/?ref_=fn_nme_nme_1'}"
Naoko Takeuchi,"{'Director': 'Naoko Takeuchi', 'IMDb Page': 'https://www.imdb.com/name/nm0847603/?ref_=fn_nme_nme_1'}"
Mor Loushy,"{'Director': 'Mor Loushy', 'IMDb Page': 'https://www.imdb.com/name/nm3024142/?ref_=fn_nme_nme_1'}"
Katia De Vidas,"{'Director': 'Katia De Vidas', 'IMDb Page': 'https://www.imdb.com/name/nm1715876/?ref_=fn_nme_nme_1'}"
Marie Nyreröd,"{'Director': 'Marie Nyreröd', 'IMDb Page': 'https://www.imdb.com/name/nm1972555/?ref_=fn_nme_nme_1'}"
Vibeke Løkkeberg,"{'Director': 'Vibeke Løkkeberg', 'IMDb Page': 'https://www.imdb.com/name/nm0530623/?ref_=fn_nme_nme_1'}"
Nancy Meckler,"{'Director': 'Nancy Meckler', 'IMDb Page': 'https://www.imdb.com/name/nm0575361/?ref_=fn_nme_nme_1'}"
Małgorzata Brama,"{'Director': 'Małgorzata Brama', 'IMDb Page': 'https://www.imdb.com/name/nm8606300/?ref_=fn_nme_nme_1'}"
Sara Ogawa,"{'Director': 'Sara Ogawa', 'IMDb Page': 'https://www.imdb.com/name/nm4149224/?ref_=fn_nme_nme_1'}"
Françoise Levie,"{'Director': 'Françoise Levie', 'IMDb Page': 'https://www.imdb.com/name/nm1287782/?ref_=fn_nme_nme_1'}"
Cristina Ibarra,"{'Director': 'Cristina Ibarra', 'IMDb Page': 'https://www.imdb.com/name/nm3176825/?ref_=fn_nme_nme_1'}"
Michelle Esrick,"{'Director': 'Michelle Esrick', 'IMDb Page': 'https://www.imdb.com/name/nm0261311/?ref_=fn_nme_nme_1'}"
Ilze Burkovska Jacobsen,"{'Director': 'Ilze Burkovska Jacobsen', 'IMDb Page': 'https://www.imdb.com/name/nm2234233/?ref_=fn_nme_nme_1'}"
Theresa Traore Dahlberg,"{'Director': 'Theresa Traore Dahlberg', 'IMDb Page': 'https://www.imdb.com/name/nm3264135/?ref_=fn_nme_nme_1'}"
Gail Mancuso,"{'Director': 'Gail Mancuso', 'IMDb Page': 'https://www.imdb.com/name/nm0541562/?ref_=fn_nme_nme_1'}"
Zia Anger,"{'Director': 'Zia Anger', 'IMDb Page': 'https://www.imdb.com/name/nm2851641/?ref_=fn_nme_nme_1'}"
Lorena David,"{'Director': 'Lorena David', 'IMDb Page': 'https://www.imdb.com/name/nm0202982/?ref_=fn_nme_nme_1'}"
Florence Arrigoni Neri,"{'Director': 'Florence Arrigoni Neri', 'IMDb Page': 'https://www.imdb.com/name/nm1180692/?ref_=fn_nme_nme_1'}"
Tanja Egen,"{'Director': 'Tanja Egen', 'IMDb Page': 'https://www.imdb.com/name/nm2560174/?ref_=fn_nme_nme_1'}"
Molly Reynolds,"{'Director': 'Molly Reynolds', 'IMDb Page': 'https://www.imdb.com/name/nm8117953/?ref_=fn_nme_nme_1'}"
Branka Prlić,"{'Director': 'Branka Prlić', 'IMDb Page': 'https://www.imdb.com/name/nm4856558/?ref_=fn_nme_nme_1'}"
Lara Saba,"{'Director': 'Lara Saba', 'IMDb Page': 'https://www.imdb.com/name/nm1264094/?ref_=fn_nme_nme_1'}"
Iolande Cadrin-Rossignol,"{'Director': 'Iolande Cadrin-Rossignol', 'IMDb Page': 'https://www.imdb.com/name/nm0128301/?ref_=fn_nme_nme_1'}"
Helena de Llanos,"{'Director': 'Helena de Llanos', 'IMDb Page': 'https://www.imdb.com/name/nm4985797/?ref_=fn_nme_nme_1'}"
Leena Pendharkar,"{'Director': 'Leena Pendharkar', 'IMDb Page': 'https://www.imdb.com/name/nm1743355/?ref_=fn_nme_nme_1'}"
Ariel St-Louis Lamoureux,"{'Director': 'Ariel St-Louis Lamoureux', 'IMDb Page': 'https://www.imdb.com/name/nm12850598/?ref_=fn_nme_nme_1'}"
Genevieve Adams,"{'Director': 'Genevieve Adams', 'IMDb Page': 'https://www.imdb.com/name/nm5151022/?ref_=fn_nme_nme_1'}"
Chioma Onyenwe,"{'Director': 'Chioma Onyenwe', 'IMDb Page': 'https://www.imdb.com/name/nm6303806/?ref_=fn_nme_nme_1'}"
Olesia Morhunets-Isaienko,"{'Director': 'Olesia Morhunets-Isaienko', 'IMDb Page': 'https://www.imdb.com/name/nm6898073/?ref_=fn_nme_nme_1'}"
Clara Bellar,"{'Director': 'Clara Bellar', 'IMDb Page': 'https://www.imdb.com/name/nm0068755/?ref_=fn_nme_nme_1'}"
Marion Angelosanto,"{'Director': 'Marion Angelosanto', 'IMDb Page': 'https://www.imdb.com/name/nm14270415/?ref_=fn_nme_nme_1'}"
Nely Reguera,"{'Director': 'Nely Reguera', 'IMDb Page': 'https://www.imdb.com/name/nm1723190/?ref_=fn_nme_nme_1'}"
Sönje Storm,"{'Director': 'Sönje Storm', 'IMDb Page': 'https://www.imdb.com/name/nm3933358/?ref_=fn_nme_nme_1'}"
Corina Schwingruber Ilić,"{'Director': 'Corina Schwingruber Ilić', 'IMDb Page': 'https://www.imdb.com/name/nm6044641/?ref_=fn_nme_nme_1'}"
Beth Murphy,"{'Director': 'Beth Murphy', 'IMDb Page': 'https://www.imdb.com/name/nm1409344/?ref_=fn_nme_nme_1'}"
Anne Linsel,"{'Director': 'Anne Linsel', 'IMDb Page': 'https://www.imdb.com/name/nm2493763/?ref_=fn_nme_nme_1'}"
Andrea Rios,"{'Director': 'Andrea Rios', 'IMDb Page': 'https://www.imdb.com/name/nm4263794/?ref_=fn_nme_nme_1'}"
Yuliya Kancheva,"{'Director': 'Yuliya Kancheva', 'IMDb Page': 'https://www.imdb.com/name/nm1462418/?ref_=fn_nme_nme_1'}"
Laura Herrero,"{'Director': 'Laura Herrero', 'IMDb Page': 'https://www.imdb.com/name/nm4856851/?ref_=fn_nme_nme_1'}"
Nina Pourlak,"{'Director': 'Nina Pourlak', 'IMDb Page': 'https://www.imdb.com/name/nm2286752/?ref_=fn_nme_nme_1'}"
Natasha Museveni Karugire,"{'Director': 'Natasha Museveni Karugire', 'IMDb Page': 'https://www.imdb.com/name/nm9885059/?ref_=fn_nme_nme_1'}"
Lisa Leeman,"{'Director': 'Lisa Leeman', 'IMDb Page': 'https://www.imdb.com/name/nm0498658/?ref_=fn_nme_nme_1'}"
Jessica Hynes,"{'Director': 'Jessica Hynes', 'IMDb Page': 'https://www.imdb.com/name/nm0828961/?ref_=fn_nme_nme_1'}"
Marni Banack,"{'Director': 'Marni Banack', 'IMDb Page': 'https://www.imdb.com/name/nm0051518/?ref_=fn_nme_nme_1'}"
Kalpana Lajmi,"{'Director': 'Kalpana Lajmi', 'IMDb Page': 'https://www.imdb.com/name/nm0493923/?ref_=fn_nme_nme_1'}"
Lisa Addario,"{'Director': 'Lisa Addario', 'IMDb Page': 'https://www.imdb.com/name/nm0011639/?ref_=fn_nme_nme_1'}"
Clarisse Hahn,"{'Director': 'Clarisse Hahn', 'IMDb Page': 'https://www.imdb.com/name/nm4195198/?ref_=fn_nme_nme_1'}"
Olena Karetnyk,"{'Director': 'Olena Karetnyk', 'IMDb Page': 'https://www.imdb.com/name/nm9816913/?ref_=fn_nme_nme_1'}"
Niuma Mohamed,"{'Director': 'Niuma Mohamed', 'IMDb Page': 'https://www.imdb.com/name/nm4418703/?ref_=fn_nme_nme_1'}"
Miranda Harcourt,"{'Director': 'Miranda Harcourt', 'IMDb Page': 'https://www.imdb.com/name/nm0362005/?ref_=fn_nme_nme_1'}"
Pat Verducci,"{'Director': 'Pat Verducci', 'IMDb Page': 'https://www.imdb.com/name/nm0893895/?ref_=fn_nme_nme_1'}"
Liza Mandelup,"{'Director': 'Liza Mandelup', 'IMDb Page': 'https://www.imdb.com/name/nm4372924/?ref_=fn_nme_nme_1'}"
Izabela Daszkiewicz,"{'Director': 'Izabela Daszkiewicz', 'IMDb Page': 'https://www.imdb.com/name/nm5600234/?ref_=fn_nme_nme_1'}"
Oksana Chepelyk,"{'Director': 'Oksana Chepelyk', 'IMDb Page': 'https://www.imdb.com/name/nm6560598/?ref_=fn_nme_nme_1'}"
Cristina Kotz Cornejo,"{'Director': 'Cristina Kotz Cornejo', 'IMDb Page': 'https://www.imdb.com/name/nm0180140/?ref_=fn_nme_nme_1'}"
Karen Collins,"{'Director': 'Karen Collins', 'IMDb Page': 'https://www.imdb.com/name/nm2840065/?ref_=fn_nme_nme_1'}"
Lucina Gil,"{'Director': 'Lucina Gil', 'IMDb Page': 'https://www.imdb.com/name/nm0317707/?ref_=fn_nme_nme_1'}"
Louise Potiki Bryant,"{'Director': 'Louise Potiki Bryant', 'IMDb Page': 'https://www.imdb.com/name/nm7711543/?ref_=fn_nme_nme_1'}"
Kura Te Ua,"{'Director': 'Kura Te Ua', 'IMDb Page': 'https://www.imdb.com/name/nm3496384/?ref_=fn_nme_nme_1'}"
Teresa Suarez,"{'Director': 'Teresa Suarez', 'IMDb Page': 'https://www.imdb.com/name/nm0840838/?ref_=fn_nme_nme_1'}"
Bobbie Birleffi,"{'Director': 'Bobbie Birleffi', 'IMDb Page': 'https://www.imdb.com/name/nm0083636/?ref_=fn_nme_nme_1'}"
Gisa Schleelein,"{'Director': 'Gisa Schleelein', 'IMDb Page': 'https://www.imdb.com/name/nm2364855/?ref_=fn_nme_nme_1'}"
Ingrid Høgh Rasmussen,"{'Director': 'Ingrid Høgh Rasmussen', 'IMDb Page': 'https://www.imdb.com/name/nm9560107/?ref_=fn_nme_nme_1'}"
Anna Nørskov Henriksen,"{'Director': 'Anna Nørskov Henriksen', 'IMDb Page': 'https://www.imdb.com/name/nm5713102/?ref_=fn_nme_nme_1'}"
Seren Yüce,"{'Director': 'Seren Yüce', 'IMDb Page': 'https://www.imdb.com/name/nm2368338/?ref_=fn_nme_nme_1'}"
Francesca Muci,"{'Director': 'Francesca Muci', 'IMDb Page': 'https://www.imdb.com/name/nm3646431/?ref_=fn_nme_nme_1'}"
Patricia Arquette,"{'Director': 'Patricia Arquette', 'IMDb Page': 'https://www.imdb.com/name/nm0000099/?ref_=fn_nme_nme_1'}"
Susan Marie Snyder,"{'Director': 'Susan Marie Snyder', 'IMDb Page': 'https://www.imdb.com/name/nm0811560/?ref_=fn_nme_nme_1'}"
Gitit Kabiri,"{'Director': 'Gitit Kabiri', 'IMDb Page': 'https://www.imdb.com/name/nm3416995/?ref_=fn_nme_nme_1'}"
Saratswadee Wongsomphet,"{'Director': 'Saratswadee Wongsomphet', 'IMDb Page': 'https://www.imdb.com/name/nm2260801/?ref_=fn_nme_nme_1'}"
Livia Giampalmo,"{'Director': 'Livia Giampalmo', 'IMDb Page': 'https://www.imdb.com/name/nm0316123/?ref_=fn_nme_nme_1'}"
Camille Griffin,"{'Director': 'Camille Griffin', 'IMDb Page': 'https://www.imdb.com/name/nm0341132/?ref_=fn_nme_nme_1'}"
Tess Smalley,"{'Director': 'Tess Smalley', 'IMDb Page': 'https://www.imdb.com/name/nm0717753/?ref_=fn_nme_nme_1'}"
Patricia Bardon,"{'Director': 'Patricia Bardon', 'IMDb Page': 'https://www.imdb.com/name/nm0054318/?ref_=fn_nme_nme_1'}"
Clara Bouffartigue,"{'Director': 'Clara Bouffartigue', 'IMDb Page': 'https://www.imdb.com/name/nm1401655/?ref_=fn_nme_nme_1'}"
Deanna Dewey,"{'Director': 'Deanna Dewey', 'IMDb Page': 'https://www.imdb.com/name/nm3240563/?ref_=fn_nme_nme_1'}"
Gunnbjörg Gunnarsdóttir,"{'Director': 'Gunnbjörg Gunnarsdóttir', 'IMDb Page': 'https://www.imdb.com/name/nm9211052/?ref_=fn_nme_nme_1'}"
Maria Samoto le Dous,"{'Director': 'Maria Samoto le Dous', 'IMDb Page': 'https://www.imdb.com/name/nm5555535/?ref_=fn_nme_nme_1'}"
Olivia Newman,"{'Director': 'Olivia Newman', 'IMDb Page': 'https://www.imdb.com/name/nm3229507/?ref_=fn_nme_nme_1'}"
Jerusha Hess,"{'Director': 'Jerusha Hess', 'IMDb Page': 'https://www.imdb.com/name/nm1415801/?ref_=fn_nme_nme_1'}"
Melina Matsoukas,"{'Director': 'Melina Matsoukas', 'IMDb Page': 'https://www.imdb.com/name/nm2027419/?ref_=fn_nme_nme_1'}"
María Alche,"{'Director': 'María Alche', 'IMDb Page': 'https://www.imdb.com/name/nm1600662/?ref_=fn_nme_nme_1'}"
Aya Igashi,"{'Director': 'Aya Igashi', 'IMDb Page': 'https://www.imdb.com/name/nm7941308/?ref_=fn_nme_nme_1'}"
Catherine Ulmer,"{'Director': 'Catherine Ulmer', 'IMDb Page': 'https://www.imdb.com/name/nm1712396/?ref_=fn_nme_nme_1'}"
Sophie Metrich,"{'Director': 'Sophie Metrich', 'IMDb Page': 'https://www.imdb.com/name/nm4707876/?ref_=fn_nme_nme_1'}"
Yi Cui,"{'Director': 'Yi Cui', 'IMDb Page': 'https://www.imdb.com/name/nm10873188/?ref_=fn_nme_nme_1'}"
Ishana Shyamalan,"{'Director': 'Ishana Shyamalan', 'IMDb Page': 'https://www.imdb.com/name/nm10064730/?ref_=fn_nme_nme_1'}"
Mara Pescio,"{'Director': 'Mara Pescio', 'IMDb Page': 'https://www.imdb.com/name/nm7121807/?ref_=fn_nme_nme_1'}"
Nadine Pequeneza,"{'Director': 'Nadine Pequeneza', 'IMDb Page': 'https://www.imdb.com/name/nm1394612/?ref_=fn_nme_nme_1'}"
Shahad Ameen,"{'Director': 'Shahad Ameen', 'IMDb Page': 'https://www.imdb.com/name/nm4962990/?ref_=fn_nme_nme_1'}"
Jen Heck,"{'Director': 'Jen Heck', 'IMDb Page': 'https://www.imdb.com/name/nm2112699/?ref_=fn_nme_nme_1'}"
Christina Zeidler,"{'Director': 'Christina Zeidler', 'IMDb Page': 'https://www.imdb.com/name/nm1259692/?ref_=fn_nme_nme_1'}"
Tsubasa Tomori,"{'Director': 'Tsubasa Tomori', 'IMDb Page': 'https://www.imdb.com/name/nm4744849/?ref_=fn_nme_nme_1'}"
Jana Kalms,"{'Director': 'Jana Kalms', 'IMDb Page': 'https://www.imdb.com/name/nm2546844/?ref_=fn_nme_nme_1'}"
Tang Dan,"{'Director': 'Tang Dan', 'IMDb Page': 'https://www.imdb.com/name/nm3589140/?ref_=fn_nme_nme_1'}"
Brigitte Poupart,"{'Director': 'Brigitte Poupart', 'IMDb Page': 'https://www.imdb.com/name/nm0693795/?ref_=fn_nme_nme_1'}"
Livia De Paolis,"{'Director': 'Livia De Paolis', 'IMDb Page': 'https://www.imdb.com/name/nm3034280/?ref_=fn_nme_nme_1'}"
Alexandra McGuinness,"{'Director': 'Alexandra McGuinness', 'IMDb Page': 'https://www.imdb.com/name/nm1553755/?ref_=fn_nme_nme_1'}"
Rosie Lourde,"{'Director': 'Rosie Lourde', 'IMDb Page': 'https://www.imdb.com/name/nm5271436/?ref_=fn_nme_nme_1'}"
Nicole Schafer,"{'Director': 'Nicole Schafer', 'IMDb Page': 'https://www.imdb.com/name/nm3569762/?ref_=fn_nme_nme_1'}"
Joana Mariani,"{'Director': 'Joana Mariani', 'IMDb Page': 'https://www.imdb.com/name/nm2105872/?ref_=fn_nme_nme_1'}"
Diane Paulus,"{'Director': 'Diane Paulus', 'IMDb Page': 'https://www.imdb.com/name/nm4602455/?ref_=fn_nme_nme_1'}"
Evin Rubar,"{'Director': 'Evin Rubar', 'IMDb Page': 'https://www.imdb.com/name/nm6670186/?ref_=fn_nme_nme_1'}"
Renasha Bantawa Rai,"{'Director': 'Renasha Bantawa Rai', 'IMDb Page': 'https://www.imdb.com/name/nm6674395/?ref_=fn_nme_nme_1'}"
Isabel de Ocampo,"{'Director': 'Isabel de Ocampo', 'IMDb Page': 'https://www.imdb.com/name/nm1211137/?ref_=fn_nme_nme_1'}"
Anne Charlotte Robertson,"{'Director': 'Anne Charlotte Robertson', 'IMDb Page': 'https://www.imdb.com/name/nm9226100/?ref_=fn_nme_nme_1'}"
Prano Bailey-Bond,"{'Director': 'Prano Bailey-Bond', 'IMDb Page': 'https://www.imdb.com/name/nm3846547/?ref_=fn_nme_nme_1'}"
Astrid Ohlsén,"{'Director': 'Astrid Ohlsén', 'IMDb Page': 'https://www.imdb.com/name/nm1754471/?ref_=fn_nme_nme_1'}"
Emily Hogan Turner,"{'Director': 'Emily Hogan Turner', 'IMDb Page': 'https://www.imdb.com/name/nm7243888/?ref_=fn_nme_nme_1'}"
Valia Santella,"{'Director': 'Valia Santella', 'IMDb Page': 'https://www.imdb.com/name/nm0763460/?ref_=fn_nme_nme_1'}"
Viviane Candas,"{'Director': 'Viviane Candas', 'IMDb Page': 'https://www.imdb.com/name/nm10625162/?ref_=fn_nme_nme_1'}"
Stephanie Okereke,"{'Director': 'Stephanie Okereke', 'IMDb Page': 'https://www.imdb.com/name/nm1760384/?ref_=fn_nme_nme_1'}"
Johanna Lee,"{'Director': 'Johanna Lee', 'IMDb Page': 'https://www.imdb.com/name/nm0497556/?ref_=fn_nme_nme_1'}"
Manuela Martelli,"{'Director': 'Manuela Martelli', 'IMDb Page': 'https://www.imdb.com/name/nm1443757/?ref_=fn_nme_nme_1'}"
Andi Nachon,"{'Director': 'Andi Nachon', 'IMDb Page': 'https://www.imdb.com/name/nm7271911/?ref_=fn_nme_nme_1'}"
Flora Sam,"{'Director': 'Flora Sam', 'IMDb Page': 'https://www.imdb.com/name/nm1150820/?ref_=fn_nme_nme_1'}"
Eliana Fonseca,"{'Director': 'Eliana Fonseca', 'IMDb Page': 'https://www.imdb.com/name/nm0284659/?ref_=fn_nme_nme_1'}"
Elza Kephart,"{'Director': 'Elza Kephart', 'IMDb Page': 'https://www.imdb.com/name/nm1090216/?ref_=fn_nme_nme_1'}"
Sharon Mazarello,"{'Director': 'Sharon Mazarello', 'IMDb Page': 'https://www.imdb.com/name/nm4821398/?ref_=fn_nme_nme_1'}"
Sara Hjort Ditlevsen,"{'Director': 'Sara Hjort Ditlevsen', 'IMDb Page': 'https://www.imdb.com/name/nm2600404/?ref_=fn_nme_nme_1'}"
Jennifer Kierans,"{'Director': 'Jennifer Kierans', 'IMDb Page': 'https://www.imdb.com/name/nm0452564/?ref_=fn_nme_nme_1'}"
Marina Kem,"{'Director': 'Marina Kem', 'IMDb Page': 'https://www.imdb.com/name/nm2281400/?ref_=fn_nme_nme_1'}"
Sandra Rodríguez,"{'Director': 'Sandra Rodríguez', 'IMDb Page': 'https://www.imdb.com/name/nm0736113/?ref_=fn_nme_nme_1'}"
Elizabeth Giamatti,"{'Director': 'Elizabeth Giamatti', 'IMDb Page': 'https://www.imdb.com/name/nm2714790/?ref_=fn_nme_nme_1'}"
Alex Sichel,"{'Director': 'Alex Sichel', 'IMDb Page': 'https://www.imdb.com/name/nm0796357/?ref_=fn_nme_nme_1'}"
Josie Rourke,"{'Director': 'Josie Rourke', 'IMDb Page': 'https://www.imdb.com/name/nm6066050/?ref_=fn_nme_nme_1'}"
Mary Ann Marino,"{'Director': 'Mary Ann Marino', 'IMDb Page': 'https://www.imdb.com/name/nm0547815/?ref_=fn_nme_nme_1'}"
Abby Martin,"{'Director': 'Abby Martin', 'IMDb Page': 'https://www.imdb.com/name/nm5449911/?ref_=fn_nme_nme_1'}"
Menora Chazani,"{'Director': 'Menora Chazani', 'IMDb Page': 'https://www.imdb.com/name/nm9807310/?ref_=fn_nme_nme_1'}"
Victoria Hochberg,"{'Director': 'Victoria Hochberg', 'IMDb Page': 'https://www.imdb.com/name/nm0387800/?ref_=fn_nme_nme_1'}"
Claire Ferguson,"{'Director': 'Claire Ferguson', 'IMDb Page': 'https://www.imdb.com/name/nm0272398/?ref_=fn_nme_nme_1'}"
Marie Hélia,"{'Director': 'Marie Hélia', 'IMDb Page': 'https://www.imdb.com/name/nm1463943/?ref_=fn_nme_nme_1'}"
Sylvie Ballyot,"{'Director': 'Sylvie Ballyot', 'IMDb Page': 'https://www.imdb.com/name/nm0050948/?ref_=fn_nme_nme_1'}"
Annick Blanc,"{'Director': 'Annick Blanc', 'IMDb Page': 'https://www.imdb.com/name/nm3869291/?ref_=fn_nme_nme_1'}"
Mar Olid,"{'Director': 'Mar Olid', 'IMDb Page': 'https://www.imdb.com/name/nm2364398/?ref_=fn_nme_nme_1'}"
Mounia Akl,"{'Director': 'Mounia Akl', 'IMDb Page': 'https://www.imdb.com/name/nm3701357/?ref_=fn_nme_nme_1'}"
Sheena Midori,"{'Director': 'Sheena Midori', 'IMDb Page': 'https://www.imdb.com/name/nm7360080/?ref_=fn_nme_nme_1'}"
Agustina Macri,"{'Director': 'Agustina Macri', 'IMDb Page': 'https://www.imdb.com/name/nm7899270/?ref_=fn_nme_nme_1'}"
Marie-France Giraudon,"{'Director': 'Marie-France Giraudon', 'IMDb Page': 'https://www.imdb.com/name/nm2409996/?ref_=fn_nme_nme_1'}"
Maryna Er Gorbach,"{'Director': 'Maryna Er Gorbach', 'IMDb Page': 'https://www.imdb.com/name/nm3372295/?ref_=fn_nme_nme_1'}"
Era Lapid,"{'Director': 'Era Lapid', 'IMDb Page': 'https://www.imdb.com/name/nm0487496/?ref_=fn_nme_nme_1'}"
Lisa F. Jackson,"{'Director': 'Lisa F. Jackson', 'IMDb Page': 'https://www.imdb.com/name/nm0413793/?ref_=fn_nme_nme_1'}"
Mel Eslyn,"{'Director': 'Mel Eslyn', 'IMDb Page': 'https://www.imdb.com/name/nm2400555/?ref_=fn_nme_nme_1'}"
