Director,IMDb Page
Iben Haahr Andersen,"{'Director': 'Iben Haahr Andersen', 'IMDb Page': 'https://www.imdb.com/name/nm0026160/?ref_=fn_nme_nme_1'}"
Vlasta Pospíšilová,"{'Director': 'Vlasta Pospíšilová', 'IMDb Page': 'https://www.imdb.com/name/nm0692770/?ref_=fn_nme_nme_1'}"
Maggie Greenwald,"{'Director': 'Maggie Greenwald', 'IMDb Page': 'https://www.imdb.com/name/nm0339245/?ref_=fn_nme_nme_1'}"
Sara St. Onge,"{'Director': 'Sara St. Onge', 'IMDb Page': 'https://www.imdb.com/name/nm2871451/?ref_=fn_nme_nme_1'}"
Monica Zanetti,"{'Director': 'Monica Zanetti', 'IMDb Page': 'https://www.imdb.com/name/nm5474366/?ref_=fn_nme_nme_1'}"
Mary Lambert,"{'Director': 'Mary Lambert', 'IMDb Page': 'https://www.imdb.com/name/nm0005116/?ref_=fn_nme_nme_1'}"
Marianna Sciveres,"{'Director': 'Marianna Sciveres', 'IMDb Page': 'https://www.imdb.com/name/nm0778536/?ref_=fn_nme_nme_1'}"
Titti Johnson,"{'Director': 'Titti Johnson', 'IMDb Page': 'https://www.imdb.com/name/nm0426343/?ref_=fn_nme_nme_1'}"
Sangeeta,"{'Director': 'Sangeeta', 'IMDb Page': 'https://www.imdb.com/name/nm1922391/?ref_=fn_nme_nme_1'}"
Denise Di Novi,"{'Director': 'Denise Di Novi', 'IMDb Page': 'https://www.imdb.com/name/nm0224145/?ref_=fn_nme_nme_1'}"
Birgit Möller,"{'Director': 'Birgit Möller', 'IMDb Page': 'https://www.imdb.com/name/nm1455321/?ref_=fn_nme_nme_1'}"
Sandra Feldman,"{'Director': 'Sandra Feldman', 'IMDb Page': 'https://www.imdb.com/name/nm0267471/?ref_=fn_nme_nme_1'}"
Taisia Igumentseva,"{'Director': 'Taisia Igumentseva', 'IMDb Page': 'https://www.imdb.com/name/nm3607564/?ref_=fn_nme_nme_1'}"
Catherine Corsini,"{'Director': 'Catherine Corsini', 'IMDb Page': 'https://www.imdb.com/name/nm0181117/?ref_=fn_nme_nme_1'}"
Edith Jud,"{'Director': 'Edith Jud', 'IMDb Page': 'https://www.imdb.com/name/nm1715498/?ref_=fn_nme_nme_1'}"
Karola Hattop,"{'Director': 'Karola Hattop', 'IMDb Page': 'https://www.imdb.com/name/nm0369066/?ref_=fn_nme_nme_1'}"
Cora Peña,"{'Director': 'Cora Peña', 'IMDb Page': 'https://www.imdb.com/name/nm0679155/?ref_=fn_nme_nme_1'}"
Pia Lenz,"{'Director': 'Pia Lenz', 'IMDb Page': 'https://www.imdb.com/name/nm5469397/?ref_=fn_nme_nme_1'}"
Ma Liwen,"{'Director': 'Ma Liwen', 'IMDb Page': 'https://www.imdb.com/name/nm2167709/?ref_=fn_nme_nme_1'}"
Susanna Styron,"{'Director': 'Susanna Styron', 'IMDb Page': 'https://www.imdb.com/name/nm0836610/?ref_=fn_nme_nme_1'}"
Jeanette Nørgaard,"{'Director': 'Jeanette Nørgaard', 'IMDb Page': 'https://www.imdb.com/name/nm1600756/?ref_=fn_nme_nme_1'}"
Mipo O,"{'Director': 'Mipo O', 'IMDb Page': 'https://www.imdb.com/name/nm2462953/?ref_=fn_nme_nme_1'}"
Grit Lemke,"{'Director': 'Grit Lemke', 'IMDb Page': 'https://www.imdb.com/name/nm10988311/?ref_=fn_nme_nme_1'}"
Q128764215,"{'Director': 'Q128764215', 'IMDb Page': 'Not Found'}"
Ana Katz,"{'Director': 'Ana Katz', 'IMDb Page': 'https://www.imdb.com/name/nm1195064/?ref_=fn_nme_nme_1'}"
Teresa Kotlarczyk,"{'Director': 'Teresa Kotlarczyk', 'IMDb Page': 'https://www.imdb.com/name/nm0467722/?ref_=fn_nme_nme_1'}"
Hadar Morag,"{'Director': 'Hadar Morag', 'IMDb Page': 'https://www.imdb.com/name/nm3321442/?ref_=fn_nme_nme_1'}"
Sylvia Hamilton,"{'Director': 'Sylvia Hamilton', 'IMDb Page': 'https://www.imdb.com/name/nm1178568/?ref_=fn_nme_nme_1'}"
Gillian Greene,"{'Director': 'Gillian Greene', 'IMDb Page': 'https://www.imdb.com/name/nm1200693/?ref_=fn_nme_nme_1'}"
Frauke Sandig,"{'Director': 'Frauke Sandig', 'IMDb Page': 'https://www.imdb.com/name/nm0761913/?ref_=fn_nme_nme_1'}"
Jennifer Grausman,"{'Director': 'Jennifer Grausman', 'IMDb Page': 'https://www.imdb.com/name/nm1639506/?ref_=fn_nme_nme_1'}"
Ashley Sabin,"{'Director': 'Ashley Sabin', 'IMDb Page': 'https://www.imdb.com/name/nm2920884/?ref_=fn_nme_nme_1'}"
Leyla Bouzid,"{'Director': 'Leyla Bouzid', 'IMDb Page': 'https://www.imdb.com/name/nm3960987/?ref_=fn_nme_nme_1'}"
Annika Berg,"{'Director': 'Annika Berg', 'IMDb Page': 'https://www.imdb.com/name/nm7409526/?ref_=fn_nme_nme_1'}"
Caterina Carone,"{'Director': 'Caterina Carone', 'IMDb Page': 'https://www.imdb.com/name/nm7286768/?ref_=fn_nme_nme_1'}"
Deepa Mehta,"{'Director': 'Deepa Mehta', 'IMDb Page': 'https://www.imdb.com/name/nm0576548/?ref_=fn_nme_nme_1'}"
Alexandra Balteanu,"{'Director': 'Alexandra Balteanu', 'IMDb Page': 'https://www.imdb.com/name/nm3152656/?ref_=fn_nme_nme_1'}"
Marina Abramović,"{'Director': 'Marina Abramović', 'IMDb Page': 'https://www.imdb.com/name/nm0009127/?ref_=fn_nme_nme_1'}"
Pola Beck,"{'Director': 'Pola Beck', 'IMDb Page': 'https://www.imdb.com/name/nm1548089/?ref_=fn_nme_nme_1'}"
Mónica Esmeralda León,"{'Director': 'Mónica Esmeralda León', 'IMDb Page': 'https://www.imdb.com/name/nm6160732/?ref_=fn_nme_nme_1'}"
Elisabetta Lodoli,"{'Director': 'Elisabetta Lodoli', 'IMDb Page': 'https://www.imdb.com/name/nm0517144/?ref_=fn_nme_nme_1'}"
Catherine Pirotta,"{'Director': 'Catherine Pirotta', 'IMDb Page': 'https://www.imdb.com/name/nm1597603/?ref_=fn_nme_nme_1'}"
Athina Krikeli,"{'Director': 'Athina Krikeli', 'IMDb Page': 'https://www.imdb.com/name/nm8089650/?ref_=fn_nme_nme_1'}"
Cristina Comencini,"{'Director': 'Cristina Comencini', 'IMDb Page': 'https://www.imdb.com/name/nm0173724/?ref_=fn_nme_nme_1'}"
